Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
OSMOTIC_STRESS_T0_PE_REP1_T1_1	OSMOTIC_STRESS_T0_PE_REP1_T1_1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	70.39800000000001	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
OSMOTIC_STRESS_T0_PE_REP1_T1_2	OSMOTIC_STRESS_T0_PE_REP1_T1_2.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	70.138	76.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
OSMOTIC_STRESS_T0_PE_REP2_T1_1	OSMOTIC_STRESS_T0_PE_REP2_T1_1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	62.861	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
OSMOTIC_STRESS_T0_PE_REP2_T1_2	OSMOTIC_STRESS_T0_PE_REP2_T1_2.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	62.688	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
OSMOTIC_STRESS_T100_SE_REP1_T1	OSMOTIC_STRESS_T100_SE_REP1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	70.39800000000001	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
OSMOTIC_STRESS_T100_SE_REP2_T1	OSMOTIC_STRESS_T100_SE_REP2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	62.861	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail
OSMOTIC_STRESS_T150_SE_REP1_T1	OSMOTIC_STRESS_T150_SE_REP1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	73.419	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
OSMOTIC_STRESS_T150_SE_REP1_T2	OSMOTIC_STRESS_T150_SE_REP1_T2.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	42.0	76.545	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
OSMOTIC_STRESS_T15_PE_REP1_T1_1	OSMOTIC_STRESS_T15_PE_REP1_T1_1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	73.419	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
OSMOTIC_STRESS_T15_PE_REP1_T1_2	OSMOTIC_STRESS_T15_PE_REP1_T1_2.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	43.0	73.356	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
OSMOTIC_STRESS_T15_PE_REP1_T2_1	OSMOTIC_STRESS_T15_PE_REP1_T2_1.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	42.0	76.545	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
OSMOTIC_STRESS_T15_PE_REP1_T2_2	OSMOTIC_STRESS_T15_PE_REP1_T2_2.gz	Conventional base calls	Sanger / Illumina 1.9	100000.0	0.0	76.0	42.0	76.48899999999999	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
